listing_id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,city,property_type,room_type,accommodates,bedrooms,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,TV,Internet,Shampoo,Suitable for Events,Washer / Dryer,Pool,Hair Dryer,Smoke Detector,Cable TV,Laptop Friendly Workspace,Cat(s),Doorman,Washer,Heating,Breakfast,Safety Card,Hot Tub,Pets live on this property,Free Parking on Premises,Dryer,Essentials,Iron,Wireless Internet,Dog(s),Pets Allowed,Buzzer/Wireless Intercom,Gym,24-Hour Check-in,Fire Extinguisher,Hangers,Elevator in Building,Other pet(s),Lock on Bedroom Door,Wheelchair Accessible,Indoor Fireplace,Smoking Allowed,Kitchen,First Aid Kit,Air Conditioning,Family/Kid Friendly,Carbon Monoxide Detector,visitors
39346537,Clifton YOLO Spaces - Clifton Mansion Apartment,93599290,2016.9.5,South Africa,within an hour,100%,f,15,t,t,Ward 54,Cape Town,Condominium,Entire place,2,1,2743.00$,100,9,10,10,10,10,10,t,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,"[183473989, 22876006, 40519390, 9687737]"
28351183,Twin Beds with private bath room,214045217,2018.9.7,TH,within an hour,100%,f,29,t,t,Phra Nakhon,Bangkok,Dorm,Private room,2,1,570.00$,40,3,5,4,5,6,4,t,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"[172926414, 213195799]"
13093102,"Petit Veneur, 1BR/1BA, 4 people.",49869502,2015.11.25,"Paris, Ile-de-France, France",within a few hours,100%,f,34,t,t,Temple,Paris,Apartment,Entire place,4,1,143.00$,80,10,10,8,10,8,10,f,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,[103474053]
141434,URCA Amazing Penthouse w/ best view/ 230 m2,687759,2011.6.10,"Rio de Janeiro, Rio de Janeiro, Brazil",within a day,90%,f,2,t,t,Botafogo,Rio de Janeiro,Loft,Entire place,4,2,1068.00$,97,10,9,10,10,10,10,f,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,"[21599000, 63330299, 14380474, 180562190, 2254761, 39880519, 1402086, 3444782, 709349, 1036941, 1101221, 859645, 1320003, 1283573, 2047827, 633002, 1232780, 3957725, 2736070, 4582403, 5947157, 5619918, 9692437, 7243372, 1328634, 330125863, 2032302]"
38910004,Hermoso departamento peque___±o,117196162,2017.2.19,MX,within an hour,100%,t,1,t,f,Coyoacan,Mexico City,Apartment,Entire place,2,1,700.00$,99,10,10,10,10,10,10,t,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"[298229719, 302780976, 236800700, 99534000, 185025149, 286521010, 292251532, 264131440, 100671462, 219768931, 165435694, 324118125, 93560966, 314520528, 313361411, 93560966, 104146845, 329704726, 349790592, 146394244, 146394244, 289282369, 349777105, 134387911, 351766986, 353869065, 349790592, 359069136, 109522003, 263717003, 365673545, 109522003, 134387911, 221384806, 209617422, 371096721, 349790592, 274815639, 140763892, 342005423, 146394244, 385168803, 146394244]"
501192,LOVELY LOFT IN THE MARAIS DISTRICT,656386,2011.6.2,"Paris, Ile-de-France, France",within a few hours,100%,f,35,t,t,Hotel-de-Ville,Paris,Apartment,Entire place,3,1,165.00$,70,8,8,8,7,9,6,t,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,"[3238660, 3567849, 132996027, 40111695, 45280786]"
32178027,Domus Alexa @Piazza Navona,241432716,2019.2.6,"Rocca Priora, Lazio, Italy",a few days or more,0%,f,2,t,f,I Centro Storico,Rome,House,Entire place,3,1,39.00$,96,10,10,10,10,10,9,t,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,"[43561593, 215229722, 283052593, 53358671, 149381459, 257055912, 103875287, 97815029, 19893123, 280082835, 200888660, 63897918, 86184156, 271506978, 150521795, 29389067, 48810919, 41245909, 193838987, 319675340, 279792430, 58727383, 3533300, 120517695, 159206600, 19991668, 3491923, 79810801, 68962467, 101638712, 200836234, 203645059, 263925781, 236033352, 86579778, 280360248, 270828247, 291824155, 132635886, 41229127, 176504061, 35466801, 46298390, 94053249, 7076152, 79605155, 299705041, 133592286, 44804829, 18756998, 215247515, 31206086, 265472727, 136159945, 312222126, 44448413, 117317207, 65537604, 9488198, 50282820, 107152839, 19030005, 91163354, 118720273, 75315488, 91182935, 165967788, 360164808]"
24497080,Corporate Studio Midtown East,61391963,2016.3.3,"New York, New York, United States",within a few hours,96%,t,125,t,f,Midtown,New York,Apartment,Entire place,2,0,75.00$,96,10,9,9,9,10,9,f,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,"[271994763, 28934458, 61513023, 108858522, 172639997, 117408383, 1361147, 136692155, 318792944]"
42936364,Comfortable Room Brooklyn Williamsburg,204704622,2018.7.24,JP,within an hour,94%,f,15,t,t,Williamsburg,New York,Townhouse,Private room,2,1,32.00$,100,10,10,10,10,9,9,f,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"[352203392, 352203392, 15889220]"
14332314,Kite Haven [Big Bay Beach Club],67407273,2016.4.16,"Cape Town, Western Cape, South Africa",within a day,100%,f,3,t,t,Ward 23,Cape Town,Condominium,Entire place,5,2,873.00$,97,10,10,10,10,10,10,f,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,"[245569531, 168433831, 33328161, 39928317, 173878964, 241691788, 147164781, 151621072, 32320302, 172400588, 30611850, 171660325, 164739935, 168555825, 45301907, 211865325, 29756208, 215714264, 105941193, 107102327, 2606242, 27058543, 116501306, 119627088, 109303305, 111084297, 113084180, 96407827, 123778228, 104475451, 18453702, 10497472, 228420217]"
