listing_id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,city,property_type,room_type,accommodates,bedrooms,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,TV,Internet,Shampoo,Suitable for Events,Washer / Dryer,Pool,Hair Dryer,Smoke Detector,Cable TV,Laptop Friendly Workspace,Cat(s),Doorman,Washer,Heating,Breakfast,Safety Card,Hot Tub,Pets live on this property,Free Parking on Premises,Dryer,Essentials,Iron,Wireless Internet,Dog(s),Pets Allowed,Buzzer/Wireless Intercom,Gym,24-Hour Check-in,Fire Extinguisher,Hangers,Elevator in Building,Other pet(s),Lock on Bedroom Door,Wheelchair Accessible,Indoor Fireplace,Smoking Allowed,Kitchen,First Aid Kit,Air Conditioning,Family/Kid Friendly,Carbon Monoxide Detector
607788,"condo Seattle, Wa.",103427,2010.4.4,"West Hollywood, California, United States",within a day,87%,f,84,t,t,Central Business District,Seattle,Apartment,Private room,6,1,$250.00 ,83,4,8,10,10,10,6,f,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8566242,Cozy Cottage Style,1886546,2012.3.8,"Seattle, Washington, United States",within a day,100%,f,1,t,t,The Junction,Seattle,House,Entire place,4,2,$200.00 ,100,10,10,10,10,10,6,f,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4041868,Seward Park-Sleeps 10- Int'l Dist.,14456173,2014.4.19,"Bellevue, Washington, United States",within an hour,100%,f,6,t,t,Columbia City,Seattle,House,Entire place,10,3,$195.00 ,71,7,7,9,10,6,7,f,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1
613151,2BdRm 1Bath Shared Near Dwntwn SEA,862329,2011.7.24,"Seattle, Washington, United States",within a few hours,89%,f,11,t,t,North Beacon Hill,Seattle,House,Private room,6,1,$169.00 ,87,8,7,6,6,7,7,f,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
3706719,Center UW Comfy Quiet & View (306),3074414,2012.7.27,"Seattle, Washington, United States",within a few hours,80%,f,34,t,t,University District,Seattle,Apartment,Entire place,2,0,$90.00 ,70,9,9,9,7,7,7,f,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5637990,Amazing Lake Union Views: 2 Bedroom,1346749,2011.10.28,"Lafayette, California, United States",within a few hours,75%,f,1,t,t,Capitol Hill,Seattle,House,Entire place,4,2,$130.00 ,80,8,6,8,9,7,7,f,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
6959336,Steps from magical Discovery Park-2,3497328,2012.9.7,"Seattle, Washington, United States",within a day,100%,f,4,t,t,Magnolia,Seattle,House,Entire place,5,2,$129.00 ,73,7,7,9,9,7,7,f,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1
3291777,Spacious and so close to UW (34),3074414,2012.7.27,"Seattle, Washington, United States",within a few hours,80%,f,34,t,t,University District,Seattle,Apartment,Entire place,4,1,$95.00 ,66,7,6,8,8,8,7,f,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1571230,Center UW Blast Internet New #102,3074414,2012.7.27,"Seattle, Washington, United States",within a few hours,80%,f,34,t,t,University District,Seattle,Apartment,Entire place,3,1,$85.00 ,68,9,8,8,8,8,7,f,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9075558,Private Bedroom in a Modern House,7237936,2013.7.2,"Seattle, Washington, United States",within an hour,100%,f,1,t,t,,Seattle,House,Private room,2,1,$34.00 ,57,6,5,8,9,8,7,f,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
